Timestamp,N,P,K,pH,Temperature,Moisture (%),Rainfall (mm)
1/1/2024 0:00,180,160,200,6.003285604,21.40649189,35.19967059,13.19416091
1/1/2024 0:15,180.0450959,159.9053397,199.9577943,6.010857738,21.88133477,34.87795487,48.42574716
1/1/2024 0:30,180.0483376,159.8904558,199.9681451,5.996950634,21.9582418,35.01379676,13.79233085
1/1/2024 0:45,180.0266782,159.8512344,199.9337895,6.021199888,20.31581336,35.91485329,10.73102059
1/1/2024 1:00,179.9110922,159.8808777,199.9356871,5.996620145,20.02602095,36.3980238,43.27975232
1/1/2024 1:15,179.8396601,159.8818584,199.8623434,5.980749168,22.35142248,37.15394154,17.25471041
1/1/2024 1:30,179.7910053,159.8569585,199.8453548,5.991989947,23.74999906,36.81691408,40.56420962
1/1/2024 1:45,179.743414,159.8056475,199.8378772,5.994910312,20.83816609,37.16660379,41.44344917
1/1/2024 2:00,179.7559249,159.7778768,199.8255551,6.009543885,22.18006989,37.11761995,20.45977955
1/1/2024 2:15,179.7637315,159.7177969,199.7540841,6.01232587,21.67710373,37.6462661,22.78962426
1/1/2024 2:30,179.6562739,159.7082117,199.6937405,6.018153538,21.02616658,38.27010616,24.15626496
1/1/2024 2:45,179.5697704,159.6760717,199.6733634,6.05914318,22.30248222,38.85172084,23.42534904
1/1/2024 3:00,179.5312791,159.7392186,199.7116583,6.087628588,22.15928009,39.24042484,14.46849128
1/1/2024 3:15,179.5544121,159.6177968,199.645999,6.072374591,24.9735354,38.75869447,12.87606559
1/1/2024 3:30,179.4673342,159.5906905,199.6550913,6.086533082,21.44441839,39.26650955,19.90182263
1/1/2024 3:45,179.4661395,159.5189743,199.5996037,6.115313473,23.33727784,38.80154764,34.99184005
1/1/2024 4:00,179.4608715,159.5089815,199.482707,6.132734584,24.67242427,38.64209931,48.68351639
1/1/2024 4:15,179.4449549,159.4507928,199.4907334,6.105770692,22.71910158,39.34215121,41.85853236
1/1/2024 4:30,179.468436,159.4828378,199.4444274,6.133787537,25.20381868,39.03989533,28.78735413
1/1/2024 4:45,179.4240769,159.4866061,199.4242617,6.132436858,25.30350592,39.67361459,16.29616329
1/1/2024 5:00,179.3650014,159.4736759,199.3579183,6.118782101,26.97978228,39.29257017,31.75905032
1/1/2024 5:15,179.3944707,159.4559788,199.26597,6.116382457,23.85128858,39.62516426,22.66482733
1/1/2024 5:30,179.3876038,159.4754514,199.2765679,6.102075719,24.97476414,40.00076883,21.84946932
1/1/2024 5:45,179.2484353,159.4529287,199.2228343,6.08798371,24.81043555,40.36828737,20.528354
1/1/2024 6:00,179.2596707,159.5003802,199.2216432,6.087445929,28.80947448,40.00509577,18.49286136
1/1/2024 6:15,179.2066886,159.4016858,199.2506865,6.077691347,27.41574277,39.72497477,48.05135185
1/1/2024 6:30,179.1970999,159.3499343,199.3121854,6.088136096,28.71575605,39.39403535,16.75528346
1/1/2024 6:45,179.2123124,159.3220956,199.279183,6.061551801,26.43004571,39.02534496,24.90838047
1/1/2024 7:00,179.1018324,159.3329417,199.3329212,6.050533736,28.70211745,38.89516064,29.94131612
1/1/2024 7:15,179.0206606,159.2824472,199.3301591,6.048658092,27.44569085,39.56315763,18.60427523
1/1/2024 7:30,178.9734564,159.3592575,199.3280439,6.047396068,28.29511857,39.39832857,25.75047685
1/1/2024 7:45,178.8933343,159.2626897,199.4094815,6.034168898,28.74668877,39.94081675,25.85561408
1/1/2024 8:00,178.8819997,159.2551031,199.3681905,6.016603051,29.16954538,40.61391263,29.31552168
1/1/2024 8:15,178.8347739,159.2610859,199.3152079,6.027204331,29.53453327,41.07836917,48.54934187
1/1/2024 8:30,178.7199463,159.2346685,199.2449435,6.026658235,28.79993347,41.17185405,49.94690217
1/1/2024 8:45,178.6907968,159.2960705,199.1808622,6.054985906,31.6860456,40.78595618,48.30901106
1/1/2024 9:00,178.6146006,159.3357106,199.1498239,6.053288248,28.73651728,40.88276029,32.69616168
1/1/2024 9:15,178.5862933,159.2567015,199.1919874,6.050776669,30.22166229,40.44439466,15.25400339
1/1/2024 9:30,178.5279885,159.2182147,199.1151987,6.048888589,31.09163676,40.13016503,17.85320896
1/1/2024 9:45,178.4661807,159.2303239,199.1181598,6.057637709,32.01809418,39.66609891,49.74768702
1/1/2024 10:00,178.3608141,159.1284029,199.1702923,6.074695994,30.93037948,40.06366279,36.10283128
1/1/2024 10:15,178.3245509,159.0639817,199.1618881,6.076211224,31.22098752,40.31242389,30.24098578
1/1/2024 10:30,178.2803237,159.1052367,198.9995663,6.108703827,29.34254667,40.88098526,38.90514003
1/1/2024 10:45,178.2340295,159.0557031,198.9735215,6.099620023,29.15966802,41.39325094,40.03804063
1/1/2024 11:00,178.1982946,159.0682117,198.860663,6.098077272,30.45433122,41.99596481,22.12859573
1/1/2024 11:15,178.1435178,159.0867623,198.9154568,6.121275088,29.57990189,42.57480274,24.33293049
1/1/2024 11:30,178.0859372,159.0517982,198.8305005,6.128074234,31.697293,43.07549173,34.14835481
1/1/2024 11:45,177.9855583,159.0170968,198.8321395,6.139004758,29.38897406,43.38546749,18.13285162
