Timestamp,Growth_Stage,N,P,K,pH,Temperature,Moisture (%),Rainfall (mm)
2024-01-01 00:00:00,vegetative,180.0,160.0,200.0,8.734009799523973,25.70143694963979,41.75508332015609,13.194160906537808
2024-01-01 00:15:00,vegetative,180.04509592620212,159.90533965400152,199.95779431260908,8.03427590823696,27.359490482065073,89.81967814367626,48.42574716326189
2024-01-01 00:30:00,vegetative,180.0483376303354,159.8904558300844,199.96814510585813,4.658840983403922,26.10495789732132,81.53552917835097,13.792330853451439
2024-01-01 00:45:00,vegetative,180.02667820352946,159.85123442592533,199.93378946777585,7.524357155306241,27.84516345078788,21.118308019036764,10.731020589534278
2024-01-01 01:00:00,vegetative,179.91109222416424,159.8808776721466,199.935687066272,5.938474322891324,26.012472591993454,22.36743102210882,43.2797523151595
2024-01-01 01:15:00,vegetative,179.83966008185035,159.8818583779177,199.8623434092543,8.490171971338798,26.53717671983453,54.62867484708567,17.254710410832395
2024-01-01 01:30:00,vegetative,179.79100530876306,159.85695852534212,199.84535483683115,9.845009385814329,26.801474220138502,78.4917367860997,40.56420962286423
2024-01-01 01:45:00,vegetative,179.7434139812521,159.8056475441822,199.83787718305643,5.233314589484102,25.600288218172338,79.57088033522245,41.443449167337995
2024-01-01 02:00:00,vegetative,179.75592490674015,159.77787684057006,199.8255551431354,6.880667177090112,26.75188901016733,32.87802325206836,20.459779548794867
2024-01-01 02:15:00,vegetative,179.76373151077897,159.71779685022744,199.7540840651176,4.561941230688669,27.22616008726525,43.714344150667124,22.789624261059448
2024-01-01 02:30:00,vegetative,179.65627385717633,159.7082117497058,199.69374049538877,6.281883362711758,27.036475658364232,85.59205760858295,24.15626496040923
2024-01-01 02:45:00,vegetative,179.56977040665092,159.67607171531094,199.67336342577863,5.753967336020045,27.72176401786382,63.398418446596,23.425349035293046
2024-01-01 03:00:00,vegetative,179.53127914289016,159.739218599182,199.71165831012354,4.593508766953907,27.542268424465576,37.27727790914612,14.468491284096743
2024-01-01 03:15:00,vegetative,179.55441206534906,159.6177967639587,199.64599902730527,8.001815514661978,27.58962059605501,66.60595869829629,12.87606559311068
2024-01-01 03:30:00,vegetative,179.46733415759564,159.59069052375733,199.6550913218358,5.546786213503383,27.703451412200163,58.37084509763251,19.90182262868574
2024-01-01 03:45:00,vegetative,179.46613947097725,159.51897428717365,199.59960369199075,4.846619095799001,25.885472291581486,71.87844847745674,34.99184005168573
2024-01-01 04:00:00,vegetative,179.46087145397775,159.5089815169547,199.48270698273862,4.375554943028715,25.755376534816378,20.39360203899537,48.68351639112455
2024-01-01 04:15:00,vegetative,179.44495491272028,159.4507928387325,199.49073337458609,5.564537868488732,26.885351833433706,48.71652114012976,41.85853235825796
2024-01-01 04:30:00,vegetative,179.46843600514066,159.4828378268628,199.44442743598648,8.277751179830997,27.28075605895405,86.16346936215162,28.787354134703968
2024-01-01 04:45:00,vegetative,179.42407688436822,159.48660605834013,199.42426173412372,5.893702326276634,25.43642306720021,60.466785164961806,16.296163291414565
2024-01-01 05:00:00,vegetative,179.36500142763327,159.4736759330913,199.35791832450516,5.500880630185671,27.55119142257743,75.08039066183258,31.759050318393648
2024-01-01 05:15:00,vegetative,179.3944707216855,159.4559787615539,199.26596999367496,5.322989960301012,27.59088105705826,43.25737883927839,22.664827327865016
2024-01-01 05:30:00,vegetative,179.3876037597923,159.47545137958505,199.2765679119908,4.986583391475828,27.099723672418587,71.88496667934558,21.849469315022002
2024-01-01 05:45:00,vegetative,179.24843525812216,159.45292874929007,199.22283426191342,4.701762230123186,26.453749113351833,79.60132150685871,20.5283539973317
2024-01-01 06:00:00,vegetative,179.25967065765514,159.50038024722087,199.22164316928382,8.748096940444603,25.920228952481494,77.81044046006008,18.492861359741383
2024-01-01 06:15:00,vegetative,179.20668861492953,159.40168577748895,199.2506865248408,7.848167690854508,26.65021641627637,29.580680051865528,48.05135185141236
2024-01-01 06:30:00,vegetative,179.19709990572719,159.34993427877785,199.3121853953944,3.578133836152124,25.052035511693568,54.52290218960013,16.755283462069333
